ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_MaskLocation,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label
260,1,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,121,3,1693.886,1
260,2,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,260,4,3910.883,2
260,3,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,109,26,1594.245,3
260,4,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,138,32,722.392,4
260,5,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,446,67,2540.828,5
260,6,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,152,72,7497.934,6
260,7,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,185,78,4533.635,7
260,8,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,104,78,1046.223,8
260,9,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,310,97,20799.918,9
260,10,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0054--fsk_770--0.8\P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0054--fsk_770--0.8/P001--fsk_770--0.8/demoplate_01--fsk_770--0.8--W0054--P001--T0000--masks.tif,fsk_770,0.8,demoplate_01--fsk_770--0.8--W0054--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770--0.8,0000,0054,W0054--fsk_770--0.8,262,103,6875.182,10
