ImageNumber,ObjectNumber,Metadata_Channel,Metadata_FileLocation,Metadata_MaskLocation,Metadata_compound,Metadata_concentration,Metadata_imageBaseName,Metadata_pathBase,Metadata_plateName,Metadata_platePath,Metadata_posNum,Metadata_posPath,Metadata_timeNum,Metadata_wellNum,Metadata_wellPath,AreaShape_Center_X,AreaShape_Center_Y,Math_area_micronsq,TrackObjects_Label
274,1,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,191,6,3537.232,1
274,2,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,230,13,2316.638,2
274,3,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,215,21,1768.616,3
274,4,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,190,32,6650.992,4
274,5,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,162,42,4433.994,5
274,6,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,323,45,1071.133,6
274,7,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,133,58,10985.346,7
274,8,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,228,61,5131.477,8
274,9,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,195,66,5280.937,9
274,10,00,C:\FIS\demo_dataset\03-images_renamed\demoplate_01\W0056--fsk_770_809--0.8\P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00.tif,C:/FIS/demo_dataset/05-images_analysis/demoplate_01--ij/W0056--fsk_770_809--0.8/P001--fsk_770_809--0.8/demoplate_01--fsk_770_809--0.8--W0056--P001--T0000--C00--masks.tif,fsk_770_809,0.8,demoplate_01--fsk_770_809--0.8--W0056--P001--T0000,C:\FIS\demo_dataset\03-images_renamed,demoplate_01,demoplate_01,001,P001--fsk_770_809--0.8,0000,0056,W0056--fsk_770_809--0.8,368,86,16116.822,10
